#
# Engine name: 15kN Ethalox
# Thu 15. Oct 09:52:29 2020
#
# Lc= 260.85552 mm	 Rc=  65.76221 mm
# R1=  37.28367 mm	 R2= 134.02304 mm
# bc=  30.00000   	 Rt=  24.85578 mm
# Le= 169.91768 mm	 Re=  69.98170 mm
# Rn=   9.49491 mm
# c1=  22.97051   	 c2=   8.00000   
#
#--------------------------
#     x, mm	      r, mm
#--------------------------
    0.00000	   65.76221
    4.30773	   65.76221
    8.61546	   65.76221
   12.92320	   65.76221
   17.23093	   65.76221
   21.53866	   65.76221
   25.84639	   65.76221
   30.15412	   65.76221
   34.46186	   65.76221
   38.76959	   65.76221
   43.07732	   65.76221
   47.38505	   65.76221
   51.69278	   65.76221
   56.00052	   65.76221
   60.30825	   65.76221
   64.61598	   65.76221
   68.92371	   65.76221
   73.23144	   65.76221
   77.53918	   65.76221
   81.84691	   65.76221
   86.15464	   65.76221
   90.46237	   65.76221
   94.77010	   65.76221
   99.07784	   65.76221
  103.38557	   65.76221
  107.69330	   65.76221
  112.00103	   65.76221
  116.30876	   65.76221
  120.61650	   65.76221
  124.92423	   65.76221
  129.23196	   65.76221
  133.53969	   65.76221
  137.84742	   65.76221
  142.15516	   65.76221
  146.46289	   65.74141
  150.77062	   65.59620
  155.07835	   65.31198
  159.38608	   64.88785
  163.69382	   64.32249
  168.00155	   63.61406
  172.30928	   62.76025
  176.61701	   61.75820
  180.92474	   60.60445
  185.23247	   59.29488
  189.54021	   57.82464
  193.84794	   56.18802
  198.15567	   54.37838
  202.46340	   52.38793
  206.77113	   50.20754
  211.07887	   47.82653
  215.38660	   45.33947
  219.69433	   42.85240
  224.00206	   40.36533
  228.30979	   37.87826
  232.61753	   35.39119
  236.92526	   32.90412
  241.23299	   30.41705
  245.54072	   28.14638
  249.84845	   26.51759
  254.15619	   25.46260
  258.46392	   24.93256
  260.85552	   24.85578
  265.16325	   25.86342
  269.47098	   27.66135
  273.77872	   29.41641
  278.08645	   31.12946
  282.39418	   32.80103
  286.70191	   34.43237
  291.00964	   36.02399
  295.31738	   37.57675
  299.62511	   39.09140
  303.93284	   40.56863
  308.24057	   42.00910
  312.54830	   43.41366
  316.85604	   44.78260
  321.16377	   46.11693
  325.47150	   47.41718
  329.77923	   48.68367
  334.08696	   49.91728
  338.39470	   51.11854
  342.70243	   52.28797
  347.01016	   53.42603
  351.31789	   54.53320
  355.62562	   55.61010
  359.93336	   56.65719
  364.24109	   57.67495
  368.54882	   58.66384
  372.85655	   59.62431
  377.16428	   60.55681
  381.47202	   61.46176
  385.77975	   62.33958
  390.08748	   63.19070
  394.39521	   64.01541
  398.70294	   64.81415
  403.01067	   65.58735
  407.31841	   66.33541
  411.62614	   67.05869
  415.93387	   67.75738
  420.24160	   68.43190
  424.54933	   69.08272
  428.85707	   69.71009
  430.77320	   69.98170
