wt1,wto,rf1i,rf1o,rf2,t
0.7,0.45,0.2,0.2,0.112,2.0
0.7,0.451,0.2,0.2,0.112,2.0
0.7,0.451,0.2,0.2,0.112,2.0
0.7,0.451,0.2,0.2,0.112,2.0
0.7,0.451,0.2,0.2,0.112,2.0
0.7,0.452,0.2,0.2,0.112,2.0
0.7,0.452,0.2,0.2,0.112,2.0
0.7,0.452,0.2,0.2,0.112,2.0
0.7,0.452,0.2,0.2,0.112,2.0
0.7,0.453,0.2,0.2,0.112,2.0
0.7,0.453,0.2,0.2,0.112,2.0
0.7,0.453,0.2,0.2,0.112,2.0
0.7,0.453,0.2,0.2,0.112,2.0
0.7,0.453,0.2,0.2,0.112,2.0
0.7,0.454,0.2,0.2,0.112,2.0
0.7,0.454,0.2,0.2,0.112,2.0
0.7,0.454,0.2,0.2,0.111,2.0
0.7,0.454,0.2,0.2,0.111,2.0
0.7,0.452,0.2,0.2,0.111,2.0
0.7,0.445,0.2,0.2,0.111,2.0
0.7,0.436,0.2,0.2,0.111,2.0
0.7,0.422,0.2,0.2,0.111,2.0
0.7,0.404,0.2,0.2,0.111,2.0
0.7,0.382,0.2,0.2,0.111,2.0
0.7,0.355,0.2,0.2,0.111,2.0
0.7,0.323,0.2,0.2,0.111,2.0
0.7,0.29,0.2,0.2,0.111,2.0
0.7,0.239,0.2,0.2,0.157,2.0
0.7,0.177,0.2,0.2,0.223,2.0
0.7,0.142,0.2,0.139,0.279,2.096
0.7,0.116,0.2,0.129,0.335,2.177
0.7,0.148,0.2,0.126,0.259,2.09
0.7,0.196,0.2,0.2,0.179,2.0
0.7,0.243,0.2,0.2,0.115,2.0
0.7,0.271,0.2,0.2,0.101,2.0
0.7,0.293,0.2,0.2,0.101,2.0
0.7,0.314,0.2,0.2,0.101,2.0
0.7,0.333,0.2,0.2,0.101,2.0
0.7,0.352,0.2,0.2,0.101,2.0
0.7,0.37,0.2,0.2,0.101,2.0
0.7,0.386,0.2,0.2,0.101,2.0
0.7,0.402,0.2,0.2,0.101,2.0
0.7,0.416,0.2,0.2,0.101,2.0
0.7,0.43,0.2,0.2,0.1,2.0
0.7,0.443,0.2,0.2,0.1,2.0
0.7,0.456,0.2,0.2,0.1,2.0
0.7,0.467,0.2,0.2,0.1,2.0
0.7,0.478,0.2,0.2,0.1,2.0
0.7,0.488,0.2,0.2,0.1,2.0
0.7,0.498,0.2,0.2,0.1,2.0
0.7,0.507,0.2,0.2,0.1,2.0
