#
# Engine name: 15kN Ethalox
# Thu 15. Oct 13:51:50 2020
#
# Lc= 189.42695 mm	 Rc=  65.76221 mm
# R1=  37.28367 mm	 R2= 134.02304 mm
# bc=  30.00000   	 Rt=  24.85578 mm
# Le= 169.91768 mm	 Re=  69.98170 mm
# Rn=   9.49491 mm
# c1=  22.97051   	 c2=   8.00000   
#
#--------------------------
#     x, mm	      r, mm
#--------------------------
    0.00000	   65.76221
   35.93446	   65.76221
   71.86893	   65.76221
  107.80339	   61.07618
  143.73785	   45.46659
  179.67231	   26.15446
  189.42695	   24.85578
  225.36141	   38.09883
  261.29587	   49.53070
  297.23034	   58.68873
  333.16480	   65.86512
  359.34463	   69.98170
