#
# Engine name: rl-10
# Wed 30. Dec 20:37:01 2020
#
# Lc= 344.43692 mm	 Rc= 130.24580 mm
# R1=  92.71788 mm	 R2= 209.03977 mm
# bc=  30.00000   	 Rt=  61.81192 mm
# Le=1205.71312 mm	 Re= 482.76653 mm
# Rn=  23.61215 mm
# c1=  37.15124   	 c2=   9.70357   
#
#--------------------------
#     x, mm	      r, mm
#--------------------------
    0.00000	  130.24580
   15.50150	  130.24580
   31.00300	  130.24580
   46.50450	  130.24580
   62.00600	  130.24580
   77.50750	  130.24580
   93.00900	  130.24580
  108.51050	  130.24580
  124.01200	  130.24580
  139.51350	  130.24580
  155.01500	  130.00816
  170.51651	  128.68879
  186.01801	  126.19205
  201.51951	  122.47413
  217.02101	  117.46564
  232.52251	  111.06448
  248.02401	  103.12368
  263.52551	   94.18264
  279.02701	   85.23285
  294.52851	   76.28305
  310.03001	   68.43236
  325.53151	   63.75981
  341.03301	   61.87442
  344.43692	   61.81192
  359.93842	   67.54075
  375.43992	   79.03480
  390.94143	   90.12012
  406.44293	  100.82614
  421.94443	  111.17951
  437.44593	  121.20447
  452.94743	  130.92307
  468.44893	  140.34873
  483.95043	  149.50481
  499.45193	  158.40418
  514.95343	  167.06121
  530.45493	  175.48768
  545.95643	  183.69856
  561.45793	  191.69993
  576.95943	  199.50394
  592.46093	  207.12059
  607.96243	  214.55786
  623.46393	  221.82326
  638.96543	  228.92390
  654.46693	  235.86649
  669.96843	  242.65741
  685.46993	  249.30266
  700.97143	  255.80797
  716.47294	  262.17873
  731.97444	  268.42009
  747.47594	  274.53650
  762.97744	  280.52941
  778.47894	  286.40647
  793.98044	  292.17191
  809.48194	  297.82610
  824.98344	  303.37458
  840.48494	  308.82242
  855.98644	  314.16735
  871.48794	  319.41854
  886.98944	  324.57371
  902.49094	  329.63980
  917.99244	  334.61539
  933.49394	  339.50730
  948.99544	  344.31253
  964.49694	  349.03867
  979.99844	  353.68381
  995.49994	  358.25190
 1011.00144	  362.74624
 1026.50294	  367.16437
 1042.00445	  371.51181
 1057.50595	  375.79036
 1073.00745	  379.99925
 1088.50895	  384.14100
 1104.01045	  388.21830
 1119.51195	  392.23245
 1135.01345	  396.18369
 1150.51495	  400.07296
 1166.01645	  403.90301
 1181.51795	  407.67500
 1197.01945	  411.39007
 1212.52095	  415.04931
 1228.02245	  418.65381
 1243.52395	  422.20378
 1259.02545	  425.70090
 1274.52695	  429.14652
 1290.02845	  432.54159
 1305.52995	  435.88705
 1321.03145	  439.18383
 1336.53295	  442.43280
 1352.03445	  445.63486
 1367.53595	  448.79084
 1383.03746	  451.90158
 1398.53896	  454.96789
 1414.04046	  457.99057
 1429.54196	  460.97038
 1445.04346	  463.90808
 1460.54496	  466.80440
 1476.04646	  469.66002
 1491.54796	  472.47469
 1507.04946	  475.24999
 1522.55096	  477.98661
 1538.05246	  480.68520
 1550.15005	  482.76653
