#
# Engine name: 15kN Ethalox
# Thu 14. Jan 10:12:58 2021
#
# Lc= 264.99717 mm	 Rc=  65.08542 mm
# R1=  37.33178 mm	 R2= 131.35348 mm
# bc=  30.00000   	 Rt=  24.88785 mm
# Le= 154.89091 mm	 Re=  76.43109 mm
# Rn=   9.50716 mm
# c1=  26.54000   	 c2=  10.28000   
#
#--------------------------
#     x, mm	      r, mm
#--------------------------
    0.00000	   65.08542
    4.19888	   65.08542
    8.39776	   65.08542
   12.59664	   65.08542
   16.79552	   65.08542
   20.99440	   65.08542
   25.19328	   65.08542
   29.39217	   65.08542
   33.59105	   65.08542
   37.78993	   65.08542
   41.98881	   65.08542
   46.18769	   65.08542
   50.38657	   65.08542
   54.58545	   65.08542
   58.78433	   65.08542
   62.98321	   65.08542
   67.18209	   65.08542
   71.38097	   65.08542
   75.57985	   65.08542
   79.77873	   65.08542
   83.97762	   65.08542
   88.17650	   65.08542
   92.37538	   65.08542
   96.57426	   65.08542
  100.77314	   65.08542
  104.97202	   65.08542
  109.17090	   65.08542
  113.36978	   65.08542
  117.56866	   65.08542
  121.76754	   65.08542
  125.96642	   65.08542
  130.16530	   65.08542
  134.36418	   65.08542
  138.56307	   65.08542
  142.76195	   65.08542
  146.96083	   65.08542
  151.15971	   65.08172
  155.35859	   64.98306
  159.55747	   64.74982
  163.75635	   64.38129
  167.95523	   63.87632
  172.15411	   63.23331
  176.35299	   62.45020
  180.55187	   61.52440
  184.75075	   60.45280
  188.94964	   59.23165
  193.14852	   57.85654
  197.34740	   56.32229
  201.54628	   54.62285
  205.74516	   52.75113
  209.94404	   50.69887
  214.14292	   48.45637
  218.34180	   46.04909
  222.54068	   43.62487
  226.73956	   41.20064
  230.93844	   38.77642
  235.13732	   36.35219
  239.33620	   33.92797
  243.53509	   31.50374
  247.73397	   29.11912
  251.93285	   27.24843
  256.13173	   25.95580
  260.33061	   25.18067
  264.52949	   24.89078
  264.99717	   24.88785
  269.19605	   25.86533
  273.39493	   27.94224
  277.59381	   29.97883
  281.79269	   31.97512
  285.99157	   33.93101
  290.19045	   35.84698
  294.38933	   37.72332
  298.58821	   39.55994
  302.78709	   41.35726
  306.98597	   43.11562
  311.18486	   44.83479
  315.38374	   46.51540
  319.58262	   48.15753
  323.78150	   49.76121
  327.98038	   51.32699
  332.17926	   52.85463
  336.37814	   54.34472
  340.57702	   55.79723
  344.77590	   57.21242
  348.97478	   58.59054
  353.17366	   59.93162
  357.37254	   61.23609
  361.57142	   62.50382
  365.77031	   63.73537
  369.96919	   64.93053
  374.16807	   66.08986
  378.36695	   67.21320
  382.56583	   68.30102
  386.76471	   69.35328
  390.96359	   70.37029
  395.16247	   71.35221
  399.36135	   72.29908
  403.56023	   73.21138
  407.75911	   74.08881
  411.95799	   74.93199
  416.15687	   75.74084
  419.88808	   76.43109
