#
# Engine name: 15kN Ethalox
# Mon 7. Dec 11:24:39 2020
#
# Lc= 266.13599 mm	 Rc=  65.07246 mm
# R1=  37.32434 mm	 R2= 131.32732 mm
# bc=  30.00000   	 Rt=  24.88290 mm
# Le= 184.06264 mm	 Re=  86.19688 mm
# Rn=   9.50527 mm
# c1=  26.54000   	 c2=  10.28000   
#
#--------------------------
#     x, mm	      r, mm
#--------------------------
    0.00000	   65.07246
    4.50199	   65.07246
    9.00397	   65.07246
   13.50596	   65.07246
   18.00794	   65.07246
   22.50993	   65.07246
   27.01192	   65.07246
   31.51390	   65.07246
   36.01589	   65.07246
   40.51788	   65.07246
   45.01986	   65.07246
   49.52185	   65.07246
   54.02383	   65.07246
   58.52582	   65.07246
   63.02781	   65.07246
   67.52979	   65.07246
   72.03178	   65.07246
   76.53377	   65.07246
   81.03575	   65.07246
   85.53774	   65.07246
   90.03972	   65.07246
   94.54171	   65.07246
   99.04370	   65.07246
  103.54568	   65.07246
  108.04767	   65.07246
  112.54966	   65.07246
  117.05164	   65.07246
  121.55363	   65.07246
  126.05561	   65.07246
  130.55760	   65.07246
  135.05959	   65.07246
  139.56157	   65.07246
  144.06356	   65.07246
  148.56555	   65.07246
  153.06753	   65.06104
  157.56952	   64.92442
  162.07150	   64.63289
  166.57349	   64.18543
  171.07548	   63.58042
  175.57746	   62.81564
  180.07945	   61.88824
  184.58144	   60.79464
  189.08342	   59.53052
  193.58541	   58.09068
  198.08739	   56.46893
  202.58938	   54.65796
  207.09137	   52.64911
  211.59335	   50.43216
  216.09534	   47.99501
  220.59733	   45.40056
  225.09931	   42.80134
  229.60130	   40.20211
  234.10328	   37.60289
  238.60527	   35.00367
  243.10726	   32.40444
  247.60924	   29.80560
  252.11123	   27.61804
  256.61322	   26.11814
  261.11520	   25.22213
  265.61719	   24.88650
  266.13599	   24.88290
  270.63797	   26.01159
  275.13996	   28.23819
  279.64195	   30.42561
  284.14393	   32.57404
  288.64592	   34.68367
  293.14791	   36.75468
  297.64989	   38.78727
  302.15188	   40.78148
  306.65386	   42.73765
  311.15585	   44.65596
  315.65784	   46.53660
  320.15982	   48.37973
  324.66181	   50.18555
  329.16380	   51.95423
  333.66578	   53.68595
  338.16777	   55.38088
  342.66975	   57.03921
  347.17174	   58.66110
  351.67373	   60.24672
  356.17571	   61.79626
  360.67770	   63.30988
  365.17969	   64.78775
  369.68167	   66.23004
  374.18366	   67.63692
  378.68564	   69.00855
  383.18763	   70.34510
  387.68962	   71.64673
  392.19160	   72.91362
  396.69359	   74.14591
  401.19558	   75.34376
  405.69756	   76.50722
  410.19955	   77.63657
  414.70153	   78.73195
  419.20352	   79.79354
  423.70551	   80.82148
  428.20749	   81.81593
  432.70948	   82.77704
  437.21147	   83.70497
  441.71345	   84.59971
  446.21544	   85.46152
  450.19862	   86.19688
