#
# Engine name: 
# Tue 29. Dec 16:00:47 2020
#
# Lc= 425.23588 mm	 Rc=  18.48110 mm
# R1=  12.39750 mm	 R2=  31.92826 mm
# bc=  30.00000   	 Rt=   8.26500 mm
# Le=  13.70629 mm	 Re=  10.12252 mm
# Rn=   3.15723 mm
# c1=   7.91752   	 c2=   7.12577   
#
#--------------------------
#     x, mm	      r, mm
#--------------------------
    0.00000	   18.48110
    4.38942	   18.48110
    8.77884	   18.48110
   13.16827	   18.48110
   17.55769	   18.48110
   21.94711	   18.48110
   26.33653	   18.48110
   30.72595	   18.48110
   35.11537	   18.48110
   39.50480	   18.48110
   43.89422	   18.48110
   48.28364	   18.48110
   52.67306	   18.48110
   57.06248	   18.48110
   61.45190	   18.48110
   65.84133	   18.48110
   70.23075	   18.48110
   74.62017	   18.48110
   79.00959	   18.48110
   83.39901	   18.48110
   87.78843	   18.48110
   92.17786	   18.48110
   96.56728	   18.48110
  100.95670	   18.48110
  105.34612	   18.48110
  109.73554	   18.48110
  114.12496	   18.48110
  118.51439	   18.48110
  122.90381	   18.48110
  127.29323	   18.48110
  131.68265	   18.48110
  136.07207	   18.48110
  140.46149	   18.48110
  144.85092	   18.48110
  149.24034	   18.48110
  153.62976	   18.48110
  158.01918	   18.48110
  162.40860	   18.48110
  166.79802	   18.48110
  171.18745	   18.48110
  175.57687	   18.48110
  179.96629	   18.48110
  184.35571	   18.48110
  188.74513	   18.48110
  193.13455	   18.48110
  197.52398	   18.48110
  201.91340	   18.48110
  206.30282	   18.48110
  210.69224	   18.48110
  215.08166	   18.48110
  219.47108	   18.48110
  223.86051	   18.48110
  228.24993	   18.48110
  232.63935	   18.48110
  237.02877	   18.48110
  241.41819	   18.48110
  245.80761	   18.48110
  250.19704	   18.48110
  254.58646	   18.48110
  258.97588	   18.48110
  263.36530	   18.48110
  267.75472	   18.48110
  272.14415	   18.48110
  276.53357	   18.48110
  280.92299	   18.48110
  285.31241	   18.48110
  289.70183	   18.48110
  294.09125	   18.48110
  298.48068	   18.48110
  302.87010	   18.48110
  307.25952	   18.48110
  311.64894	   18.48110
  316.03836	   18.48110
  320.42778	   18.48110
  324.81721	   18.48110
  329.20663	   18.48110
  333.59605	   18.48110
  337.98547	   18.48110
  342.37489	   18.48110
  346.76431	   18.48110
  351.15374	   18.48110
  355.54316	   18.48110
  359.93258	   18.48110
  364.32200	   18.48110
  368.71142	   18.48110
  373.10084	   18.48110
  377.49027	   18.48110
  381.87969	   18.48110
  386.26911	   18.48110
  390.65853	   18.48110
  395.04795	   18.48110
  399.43737	   18.25735
  403.82680	   17.42002
  408.21622	   15.91023
  412.60564	   13.63917
  416.99506	   11.10494
  421.38448	    8.87841
  425.23588	    8.26500
  429.62530	    8.84448
  434.01472	    9.45211
  438.40414	   10.05225
  438.94217	   10.12252
