#
# Engine name: 15kN Ethalox
# Tue 6. Oct 10:01:18 2020
#
# Lc= 189.42695 mm	 Rc=  65.76221 mm
# R1=  37.28367 mm	 R2= 134.02304 mm
# bc=  30.00000   	 Rt=  24.85578 mm
# Le= 169.91768 mm	 Re=  69.98170 mm
# Rn=   9.49491 mm
# c1=  22.97051   	 c2=   8.00000   
#
#--------------------------
#     x, mm	      r, mm
#--------------------------
    0.00000	   65.76221
    0.35934	   65.76221
    0.71869	   65.76221
    1.07803	   65.76221
    1.43738	   65.76221
    1.79672	   65.76221
    2.15607	   65.76221
    2.51541	   65.76221
    2.87476	   65.76221
    3.23410	   65.76221
    3.59345	   65.76221
    3.95279	   65.76221
    4.31214	   65.76221
    4.67148	   65.76221
    5.03082	   65.76221
    5.39017	   65.76221
    5.74951	   65.76221
    6.10886	   65.76221
    6.46820	   65.76221
    6.82755	   65.76221
    7.18689	   65.76221
    7.54624	   65.76221
    7.90558	   65.76221
    8.26493	   65.76221
    8.62427	   65.76221
    8.98362	   65.76221
    9.34296	   65.76221
    9.70230	   65.76221
   10.06165	   65.76221
   10.42099	   65.76221
   10.78034	   65.76221
   11.13968	   65.76221
   11.49903	   65.76221
   11.85837	   65.76221
   12.21772	   65.76221
   12.57706	   65.76221
   12.93641	   65.76221
   13.29575	   65.76221
   13.65510	   65.76221
   14.01444	   65.76221
   14.37379	   65.76221
   14.73313	   65.76221
   15.09247	   65.76221
   15.45182	   65.76221
   15.81116	   65.76221
   16.17051	   65.76221
   16.52985	   65.76221
   16.88920	   65.76221
   17.24854	   65.76221
   17.60789	   65.76221
   17.96723	   65.76221
   18.32658	   65.76221
   18.68592	   65.76221
   19.04527	   65.76221
   19.40461	   65.76221
   19.76395	   65.76221
   20.12330	   65.76221
   20.48264	   65.76221
   20.84199	   65.76221
   21.20133	   65.76221
   21.56068	   65.76221
   21.92002	   65.76221
   22.27937	   65.76221
   22.63871	   65.76221
   22.99806	   65.76221
   23.35740	   65.76221
   23.71675	   65.76221
   24.07609	   65.76221
   24.43543	   65.76221
   24.79478	   65.76221
   25.15412	   65.76221
   25.51347	   65.76221
   25.87281	   65.76221
   26.23216	   65.76221
   26.59150	   65.76221
   26.95085	   65.76221
   27.31019	   65.76221
   27.66954	   65.76221
   28.02888	   65.76221
   28.38823	   65.76221
   28.74757	   65.76221
   29.10691	   65.76221
   29.46626	   65.76221
   29.82560	   65.76221
   30.18495	   65.76221
   30.54429	   65.76221
   30.90364	   65.76221
   31.26298	   65.76221
   31.62233	   65.76221
   31.98167	   65.76221
   32.34102	   65.76221
   32.70036	   65.76221
   33.05971	   65.76221
   33.41905	   65.76221
   33.77839	   65.76221
   34.13774	   65.76221
   34.49708	   65.76221
   34.85643	   65.76221
   35.21577	   65.76221
   35.57512	   65.76221
   35.93446	   65.76221
   36.29381	   65.76221
   36.65315	   65.76221
   37.01250	   65.76221
   37.37184	   65.76221
   37.73119	   65.76221
   38.09053	   65.76221
   38.44987	   65.76221
   38.80922	   65.76221
   39.16856	   65.76221
   39.52791	   65.76221
   39.88725	   65.76221
   40.24660	   65.76221
   40.60594	   65.76221
   40.96529	   65.76221
   41.32463	   65.76221
   41.68398	   65.76221
   42.04332	   65.76221
   42.40267	   65.76221
   42.76201	   65.76221
   43.12136	   65.76221
   43.48070	   65.76221
   43.84004	   65.76221
   44.19939	   65.76221
   44.55873	   65.76221
   44.91808	   65.76221
   45.27742	   65.76221
   45.63677	   65.76221
   45.99611	   65.76221
   46.35546	   65.76221
   46.71480	   65.76221
   47.07415	   65.76221
   47.43349	   65.76221
   47.79284	   65.76221
